,event_date,country,Western,Asian,South American,counts,population_scaled,events_per_capita_scaled,gdp_per_capita_scaled,public_trust_percentage_scaled
0,2021,Australia,1,0,0,681,-0.283,-0.834,0.72,0.288
1,2022,Australia,1,0,0,794,-0.278,-0.699,0.877,0.168
2,2020,Austria,1,0,0,354,-0.524,-0.391,0.295,0.93
3,2021,Austria,1,0,0,562,-0.523,0.384,0.464,0.834
4,2022,Austria,1,0,0,294,-0.522,-0.632,0.412,0.834
5,2020,Belgium,1,0,0,784,-0.486,0.559,0.181,-1.057
6,2021,Belgium,1,0,0,833,-0.485,0.691,0.404,0.012
7,2022,Belgium,1,0,0,523,-0.484,-0.221,0.335,0.606
8,2018,Brazil,0,0,1,6549,2.368,-0.678,-1.122,-1.819
9,2019,Brazil,0,0,1,3346,2.391,-1.194,-1.132,-0.781
10,2020,Brazil,0,0,1,2514,2.411,-1.329,-1.201,-0.655
11,2021,Brazil,0,0,1,4060,2.427,-1.088,-1.173,-0.865
12,2022,Brazil,0,0,1,3728,2.441,-1.143,-1.13,-0.475
13,2021,Canada,1,0,0,1691,-0.103,-0.238,0.428,0.834
14,2022,Canada,1,0,0,1828,-0.093,-0.147,0.535,0.216
15,2018,Chile,0,0,1,1033,-0.383,0.131,-0.883,-0.817
16,2019,Chile,0,0,1,1590,-0.378,1.082,-0.926,-1.909
17,2020,Chile,0,0,1,1048,-0.375,0.1,-0.978,-1.801
18,2021,Chile,0,0,1,880,-0.372,-0.208,-0.868,-1.435
19,2022,Chile,0,0,1,927,-0.37,-0.136,-0.9,-1.105
20,2018,Colombia,0,0,1,406,0.056,-1.448,-1.206,-1.177
21,2019,Colombia,0,0,1,624,0.069,-1.307,-1.218,-0.859
22,2020,Colombia,0,0,1,686,0.08,-1.272,-1.259,-0.583
23,2021,Colombia,0,0,1,2283,0.088,-0.236,-1.227,-1.093
24,2022,Colombia,0,0,1,1364,0.093,-0.841,-1.212,-1.045
25,2018,Costa Rica,0,0,0,299,-0.58,0.269,-1.006,0.054
26,2019,Costa Rica,0,0,0,335,-0.579,0.489,-0.996,-1.129
27,2020,Costa Rica,0,0,0,565,-0.578,1.981,-1.013,-1.039
28,2021,Costa Rica,0,0,0,192,-0.578,-0.473,-0.998,-0.937
29,2022,Costa Rica,0,0,0,164,-0.577,-0.661,-0.971,0.774
30,2020,Denmark,1,0,0,561,-0.568,1.508,0.725,1.47
31,2021,Denmark,1,0,0,828,-0.568,3.026,1.026,1.086
32,2022,Denmark,1,0,0,371,-0.567,0.387,0.973,0.984
33,2020,Estonia,1,0,0,141,-0.633,1.839,-0.605,-0.036
34,2021,Estonia,1,0,0,113,-0.633,1.128,-0.45,0.288
35,2022,Estonia,1,0,0,74,-0.633,0.119,-0.439,0.222
36,2020,Finland,1,0,0,216,-0.572,-0.412,0.308,2.028
37,2021,Finland,1,0,0,265,-0.572,-0.118,0.463,1.458
38,2022,Finland,1,0,0,345,-0.572,0.362,0.369,1.824
39,2020,France,1,0,0,5165,0.319,0.844,-0.049,-0.367
40,2021,France,1,0,0,8356,0.322,2.419,0.112,-0.223
41,2022,France,1,0,0,6421,0.325,1.45,0.012,-0.223
42,2020,Germany,1,0,0,4292,0.543,0.01,0.222,1.098
43,2021,Germany,1,0,0,4215,0.543,-0.022,0.389,0.804
44,2022,Germany,1,0,0,4770,0.552,0.188,0.292,0.822
45,2018,Greece,1,0,0,203,-0.498,-1.089,-0.742,-1.885
46,2019,Greece,1,0,0,497,-0.498,-0.167,-0.764,-0.451
